frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
0,657,43,676,147,677,221
1,653,42,674,151,662,236
2,650,44,667,147,678,208
3,652,44,664,159,658,225
4,649,45,664,136,658,207
5,653,44,670,129,662,223
6,652,46,664,145,663,208
7,652,47,665,144,662,208
8,651,47,668,138,661,209
9,649,45,665,146,662,212
10,652,47,663,159,655,224
11,648,47,664,186,651,323
12,647,46,661,175,649,283
13,647,48,659,163,646,232
14,646,53,653,175,635,224
15,646,52,649,162,631,216
16,648,54,650,163,637,211
17,644,54,637,171,636,223
18,642,50,638,152,615,217
19,638,46,632,152,612,217
20,636,49,617,152,588,207
21,630,44,608,151,575,203
22,627,43,595,155,547,214
23,629,46,570,159,518,221
24,630,46,551,159,459,257
25,626,50,528,165,422,267
26,624,48,521,155,407,245
27,622,40,511,143,394,222
28,617,39,504,129,374,204
29,615,41,494,125,360,187
30,615,46,486,116,351,168
31,616,44,481,106,343,153
32,613,44,478,100,343,135
33,616,43,477,92,340,121
34,620,43,472,85,340,109
35,615,40,469,80,333,98
36,612,39,468,74,335,87
37,615,39,463,66,333,80
38,615,40,464,64,330,72
39,617,40,466,62,332,67
40,615,40,467,61,332,66
41,617,39,466,60,330,64
42,617,39,463,58,331,61
43,619,38,463,57,338,59
44,620,39,461,56,336,59
45,621,38,465,55,340,57
46,621,37,463,55,338,57
47,620,37,462,55,338,56
48,620,37,462,55,338,56
49,619,37,462,55,338,56
50,619,37,463,55,339,57
51,619,37,464,55,339,58
52,620,38,466,56,340,58
53,619,37,464,56,340,58
54,619,38,462,57,338,59
55,618,36,462,58,341,59
56,617,37,465,58,338,60
57,616,37,464,58,338,60
58,614,37,463,58,336,61
59,616,37,462,58,336,61
60,616,39,461,58,332,61
61,616,38,463,59,332,62
62,617,38,462,59,332,62
63,618,38,462,59,332,63
64,619,38,467,61,329,63
65,620,38,465,62,329,65
66,618,40,460,63,326,68
67,618,38,461,65,329,71
68,616,38,459,67,329,78
69,617,38,465,73,333,85
70,612,39,464,77,327,92
71,610,41,466,83,332,103
72,608,41,466,90,334,117
73,606,42,470,98,331,133
74,607,42,470,106,335,150
75,607,43,475,117,342,167
76,605,45,478,126,347,187
77,605,47,486,139,364,204
78,609,43,493,147,376,225
79,612,41,496,152,390,245
80,614,43,501,165,402,265
81,615,46,520,166,417,274
82,611,49,530,175,430,283
83,611,51,548,170,490,230
84,614,52,563,172,504,229
85,613,54,578,165,536,219
86,615,55,585,174,562,226
87,618,56,605,162,578,209
88,618,56,606,165,584,216
89,622,57,612,171,597,225
90,621,60,614,193,605,252
91,625,56,636,173,626,227
92,623,59,618,174,624,227
93,629,64,635,185,628,240
94,627,68,639,190,637,256
95,627,70,643,181,625,265
96,625,65,653,185,642,256
97,627,65,657,190,653,281
98,630,63,655,187,649,259
99,630,66,654,191,637,265
100,631,62,657,187,655,271
101,627,59,656,190,632,256
102,630,60,651,191,643,263
103,631,61,657,190,638,261
104,632,62,658,191,640,270
105,632,63,655,192,635,259
106,637,59,656,176,651,234
107,638,63,658,189,660,266
108,637,60,659,193,659,268
