frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
0,621,56,613,197,596,277
1,623,57,630,181,612,251
2,627,56,632,192,621,276
3,627,55,629,162,620,232
4,626,54,626,172,624,226
5,626,56,622,172,613,235
6,625,53,613,240,590,309
7,625,55,628,175,603,246
8,620,53,631,170,608,245
9,617,47,596,182,588,270
10,624,49,584,186,535,282
11,626,48,584,178,520,282
12,615,49,575,167,522,240
13,618,48,566,168,494,247
14,620,49,553,172,456,273
15,616,48,538,171,424,290
16,612,48,533,168,412,283
17,614,50,522,167,400,277
18,614,49,515,166,395,267
19,614,48,509,163,386,260
20,608,53,496,165,378,257
21,604,54,495,160,376,249
22,606,55,492,159,372,243
23,607,56,490,158,368,239
24,608,51,491,156,367,235
25,608,53,492,154,363,231
26,607,52,489,153,363,227
27,610,52,489,148,360,225
28,613,51,488,147,358,223
29,612,51,488,146,358,222
30,610,51,489,145,357,222
31,611,51,488,145,358,221
32,611,50,488,145,358,222
33,611,50,488,146,358,223
34,611,49,489,147,358,224
35,613,47,491,147,359,225
36,613,48,493,152,360,226
37,613,47,492,149,365,227
38,611,49,494,152,365,228
39,609,49,493,153,365,229
40,610,50,493,153,363,232
41,610,51,492,155,364,233
42,610,50,491,156,364,235
43,612,50,493,157,367,239
44,610,50,495,158,372,241
45,610,51,496,160,376,247
46,612,51,500,166,378,251
47,612,51,512,164,388,257
48,613,51,519,168,396,266
49,616,52,521,175,402,276
50,616,53,534,176,412,284
51,619,55,538,183,422,293
52,618,55,544,191,430,303
53,621,58,557,195,443,310
54,622,57,566,197,459,317
55,614,55,572,198,472,329
56,614,57,586,197,497,323
57,614,58,587,212,497,341
58,610,68,598,211,528,345
59,609,66,608,212,548,355
60,612,61,622,195,615,252
61,613,61,627,202,609,287
62,619,65,632,206,613,323
63,623,71,638,201,612,317
64,623,67,644,199,620,315
65,621,70,650,204,622,345
66,623,70,659,209,642,353
67,624,69,659,209,650,351
68,623,71,661,204,655,346
69,621,72,662,205,661,344
70,624,72,659,206,663,343
71,623,71,656,207,661,345
72,619,70,660,203,662,344
73,623,70,659,201,659,344
74,618,68,652,195,645,331
75,619,70,646,201,629,327
76,618,71,646,201,641,341
77,619,68,647,204,636,349
