frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
157,639,31,763,54,880,71
158,636,31,764,53,879,76
159,638,31,760,55,876,78
160,640,29,762,57,882,85
161,639,29,757,57,880,87
162,638,28,750,58,875,88
163,639,27,746,58,871,90
164,641,28,746,58,868,94
165,640,30,748,60,862,94
166,634,29,744,58,861,94
167,636,28,744,59,861,95
168,634,28,742,59,861,95
169,636,30,738,58,865,94
170,635,33,738,59,866,94
171,634,34,736,58,866,95
172,635,34,732,58,867,96
173,634,34,733,57,863,98
174,633,32,734,58,866,101
175,629,31,733,59,858,103
176,627,29,729,59,855,105
177,619,23,729,62,852,110
178,613,22,726,64,852,117
179,612,20,719,59,851,120
180,611,16,716,60,842,122
181,611,9,714,60,720,68
182,612,17,715,65,836,127
183,615,23,712,66,836,130
184,619,23,712,67,830,133
185,688,64,706,67,700,68
186,689,66,703,70,685,62
187,615,17,702,77,683,61
188,571,134,571,189,606,245
189,622,20,571,197,607,251
190,626,21,572,189,605,252
191,626,20,753,178,768,200
192,631,18,678,105,627,253
193,638,20,670,105,718,183
194,638,29,664,114,670,131
195,639,31,653,95,653,95
196,641,28,648,106,654,124
197,636,20,648,145,652,181
198,643,27,648,156,655,192
199,635,28,641,136,622,177
200,638,33,630,157,645,248
201,635,35,637,104,643,111
