frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
0,601,54,620,201,546,353
1,581,49,586,290,555,361
2,590,88,598,200,602,270
3,622,46,596,185,604,246
4,614,50,610,227,616,318
5,625,59,625,202,601,334
6,622,58,643,189,632,287
7,615,55,644,172,647,262
8,615,51,646,153,652,227
9,614,53,645,163,640,233
10,609,52,665,174,681,218
11,618,49,678,168,615,46
12,619,47,706,159,620,45
13,624,44,722,155,759,213
14,622,40,735,143,829,254
15,627,37,748,130,854,223
16,626,36,760,120,881,206
17,620,36,764,106,893,181
18,617,38,764,94,915,159
19,612,39,607,168,930,132
20,613,36,779,67,939,106
21,607,42,775,53,951,79
22,607,39,775,41,946,52
23,594,38,771,31,548,33
24,595,36,764,24,635,18
25,603,35,760,13,749,4
26,601,42,634,21,692,6
27,604,41,643,20,693,5
28,603,41,633,21,674,6
29,604,34,746,8,716,5
30,602,36,750,12,743,11
31,595,34,759,19,921,4
32,600,36,759,23,916,10
33,587,42,749,30,912,19
34,580,47,744,33,919,23
35,579,48,588,177,917,30
36,577,48,578,176,917,32
37,577,47,586,174,915,34
38,576,45,596,180,914,37
39,559,58,599,181,913,41
40,557,58,599,185,642,219
41,568,51,601,180,638,228
42,557,59,589,182,627,234
43,556,84,579,195,602,259
44,550,53,575,177,593,253
45,569,53,574,182,587,245
46,570,52,571,180,585,246
47,578,44,581,181,595,234
48,581,42,573,177,601,230
49,583,43,588,173,869,145
50,579,46,581,171,605,199
51,578,48,604,169,828,182
52,577,48,714,129,814,204
53,573,49,701,140,795,228
54,576,54,682,147,772,251
55,576,52,663,159,747,269
56,578,53,651,172,725,289
57,583,56,633,179,644,247
58,587,59,625,180,652,260
59,587,63,615,178,611,234
60,590,67,615,190,618,277
61,587,64,612,191,620,265
62,592,72,606,190,606,249
63,591,68,603,193,599,237
64,593,67,599,196,596,249
65,591,67,600,201,591,250
66,590,65,598,208,582,286
67,591,69,593,213,525,341
68,595,73,588,219,516,336
69,594,73,586,223,504,337
70,595,72,589,220,502,333
71,596,73,584,222,502,334
