frame_id,sh_x,sh_y,el_x,el_y,wr_x,wr_y
0,586,70,601,209,582,323
1,584,70,602,201,589,309
2,587,72,603,202,587,308
3,589,75,605,199,590,292
4,587,76,606,204,598,309
5,587,75,605,201,599,309
6,584,76,600,202,589,304
7,584,73,598,199,596,265
8,582,73,593,198,592,269
9,582,73,592,202,581,300
10,580,68,593,194,583,249
11,583,70,594,203,565,304
12,583,69,592,205,548,300
13,585,72,576,219,495,333
14,583,69,566,210,475,321
15,582,65,561,211,454,317
16,580,64,556,204,433,305
17,580,64,553,204,422,293
18,580,65,540,200,403,278
19,580,64,533,198,391,260
20,575,62,523,195,379,242
21,578,64,518,189,368,224
22,583,63,505,187,358,204
23,580,64,493,186,343,180
24,576,63,485,183,337,156
25,575,62,476,177,334,132
26,579,63,469,169,340,110
27,575,61,457,162,342,92
28,576,62,448,154,345,75
29,578,61,440,145,347,54
30,574,65,434,137,351,40
31,573,63,431,130,436,121
32,567,61,425,116,436,111
33,566,61,422,107,436,103
34,567,59,421,98,435,95
35,565,61,421,91,434,88
36,565,58,419,83,428,79
37,565,53,417,77,483,74
38,566,54,417,72,514,68
39,565,53,527,72,512,64
40,568,54,420,65,518,37
41,571,54,421,63,513,26
42,569,55,420,61,513,22
43,569,55,421,60,515,21
44,574,55,421,60,512,21
45,575,54,422,59,514,21
46,576,54,422,59,511,21
47,575,55,423,60,512,23
48,575,55,423,61,511,24
49,575,55,423,62,512,25
50,573,53,424,63,430,51
51,576,53,425,62,434,52
52,577,52,426,63,434,52
53,578,53,426,63,435,57
54,579,52,425,63,478,36
55,580,54,427,64,482,36
56,579,54,426,63,486,25
57,579,54,424,62,484,26
58,579,54,426,62,513,23
59,579,55,425,62,515,23
60,579,55,424,64,441,59
61,580,55,424,66,525,46
62,580,54,425,69,516,38
63,579,53,424,73,512,64
64,577,54,424,77,494,69
65,579,52,429,81,487,74
66,581,55,430,87,441,79
67,578,52,435,97,437,92
68,580,52,435,106,436,98
69,578,50,438,116,436,105
70,577,52,441,129,358,22
71,576,53,446,136,353,45
72,577,54,455,144,350,65
73,581,54,466,157,346,92
74,578,55,478,169,346,120
75,575,59,489,181,348,152
76,573,65,503,187,360,186
77,570,70,522,196,375,222
78,564,74,537,210,390,256
79,559,72,554,212,407,286
80,559,72,560,217,431,314
81,565,65,565,210,458,332
82,566,67,579,229,498,337
83,554,64,585,220,530,344
84,578,66,597,219,553,352
85,567,62,599,207,559,239
86,574,69,612,217,604,354
87,578,74,611,208,604,329
88,579,75,615,194,606,278
89,582,73,619,192,614,289
90,586,71,630,194,634,300
91,590,70,637,196,643,321
92,585,71,638,196,647,325
93,587,69,634,193,636,307
94,589,69,630,190,616,267
95,588,74,626,194,647,315
96,588,76,631,200,655,323
97,587,78,635,203,675,331
98,589,78,631,200,667,325
